population,response,percentage
b_cell,yes,7.5543
b_cell,yes,12.2616
b_cell,yes,8.2859
b_cell,yes,10.6583
b_cell,yes,4.0261
b_cell,yes,10.5640
b_cell,yes,7.5053
b_cell,yes,11.0364
b_cell,yes,9.5251
b_cell,yes,13.8285
b_cell,yes,11.2492
b_cell,yes,9.1073
b_cell,yes,4.7215
b_cell,yes,10.4777
b_cell,yes,8.3564
b_cell,yes,10.5879
b_cell,yes,8.2294
b_cell,yes,8.7969
b_cell,yes,7.9932
b_cell,yes,8.6391
b_cell,yes,8.1091
b_cell,yes,8.5976
b_cell,yes,8.7539
b_cell,yes,10.3895
b_cell,yes,5.4176
b_cell,yes,9.1960
b_cell,yes,12.3888
b_cell,yes,12.2628
b_cell,yes,12.0374
b_cell,yes,9.7037
b_cell,yes,12.6169
b_cell,yes,13.7049
b_cell,yes,9.3917
b_cell,yes,9.7021
b_cell,yes,13.4486
b_cell,yes,3.9824
b_cell,yes,12.8847
b_cell,yes,16.2621
b_cell,yes,5.9932
b_cell,yes,12.5705
b_cell,yes,12.0533
b_cell,yes,4.2446
b_cell,yes,7.6826
b_cell,yes,5.6085
b_cell,yes,8.8838
b_cell,yes,10.4344
b_cell,yes,12.7753
b_cell,yes,10.5186
b_cell,yes,9.3260
b_cell,yes,11.1905
b_cell,yes,10.1293
b_cell,yes,5.6915
b_cell,yes,12.5471
b_cell,yes,7.7158
b_cell,yes,8.3597
b_cell,yes,13.2080
b_cell,yes,4.0837
b_cell,yes,10.3264
b_cell,yes,9.0421
b_cell,yes,17.0165
b_cell,yes,10.5231
b_cell,yes,5.7119
b_cell,yes,10.2345
b_cell,yes,10.7821
b_cell,yes,10.5465
b_cell,yes,13.6716
b_cell,yes,10.0752
b_cell,yes,11.4208
b_cell,yes,7.2814
b_cell,yes,5.0005
b_cell,yes,8.4689
b_cell,yes,12.3868
b_cell,yes,10.6039
b_cell,yes,6.9842
b_cell,yes,6.6209
b_cell,yes,12.4721
b_cell,yes,10.1905
b_cell,yes,12.2673
b_cell,yes,6.6056
b_cell,yes,13.5681
b_cell,yes,16.8403
b_cell,yes,7.7156
b_cell,yes,5.4100
b_cell,yes,6.9128
b_cell,yes,9.6980
b_cell,yes,15.8121
b_cell,yes,8.2416
b_cell,yes,5.9334
b_cell,yes,12.0263
b_cell,yes,5.4900
b_cell,yes,7.5695
b_cell,yes,5.9110
b_cell,yes,2.3738
b_cell,yes,6.4122
b_cell,yes,19.2527
b_cell,yes,11.5636
b_cell,yes,11.0681
b_cell,yes,8.0920
b_cell,yes,7.1173
b_cell,yes,7.0772
b_cell,yes,7.6316
b_cell,yes,12.5635
b_cell,yes,12.6323
b_cell,yes,11.6793
b_cell,yes,11.0271
b_cell,yes,8.8017
b_cell,yes,6.6009
b_cell,yes,9.8509
b_cell,yes,7.8663
b_cell,yes,5.9457
b_cell,yes,6.7970
b_cell,yes,8.2955
b_cell,yes,18.2538
b_cell,yes,9.4667
b_cell,yes,5.0172
b_cell,yes,12.2329
b_cell,yes,8.1918
b_cell,yes,8.3738
b_cell,yes,11.2753
b_cell,yes,4.6432
b_cell,yes,11.4231
b_cell,yes,8.9289
b_cell,yes,9.5375
b_cell,yes,8.6210
b_cell,yes,8.7218
b_cell,yes,9.9678
b_cell,yes,15.5112
b_cell,yes,10.0004
b_cell,yes,9.0194
b_cell,yes,9.2323
b_cell,yes,12.8798
b_cell,yes,5.1387
b_cell,yes,4.5332
b_cell,yes,13.8711
b_cell,yes,8.5927
b_cell,yes,21.0341
b_cell,yes,7.0998
b_cell,yes,12.5976
b_cell,yes,8.7810
b_cell,yes,9.9234
b_cell,yes,6.0471
b_cell,yes,9.0555
b_cell,yes,10.9056
b_cell,yes,7.1979
b_cell,yes,7.6716
b_cell,yes,7.1663
b_cell,yes,7.2970
b_cell,yes,13.2259
b_cell,yes,7.5135
b_cell,yes,14.7240
b_cell,yes,8.1047
b_cell,yes,11.6668
b_cell,yes,8.8685
b_cell,yes,9.7205
b_cell,yes,8.6135
b_cell,yes,9.0013
b_cell,yes,8.1027
b_cell,yes,9.3667
b_cell,yes,6.4765
b_cell,yes,11.3636
b_cell,yes,11.8483
b_cell,yes,10.2497
b_cell,yes,9.7850
b_cell,yes,11.4494
b_cell,yes,11.4416
b_cell,yes,15.8734
b_cell,yes,6.6897
b_cell,yes,6.9725
b_cell,yes,11.7649
b_cell,yes,8.9974
b_cell,yes,9.3368
b_cell,yes,6.1829
b_cell,yes,8.6070
b_cell,yes,11.3926
b_cell,yes,6.5388
b_cell,yes,8.8383
b_cell,yes,14.1639
b_cell,yes,9.5666
b_cell,yes,15.9055
b_cell,yes,7.5182
b_cell,yes,11.7547
b_cell,yes,5.9556
b_cell,yes,14.8639
b_cell,yes,14.2817
b_cell,yes,10.0904
b_cell,yes,12.5013
b_cell,yes,11.4462
b_cell,yes,7.2085
b_cell,yes,8.4396
b_cell,yes,14.1598
b_cell,yes,8.5333
b_cell,yes,10.4619
b_cell,yes,17.6915
b_cell,yes,9.8609
b_cell,yes,8.1363
b_cell,yes,6.5205
b_cell,yes,9.7918
b_cell,yes,14.6802
b_cell,yes,3.1521
b_cell,yes,10.3933
b_cell,yes,9.4323
b_cell,yes,9.9741
b_cell,yes,8.9886
b_cell,yes,8.7270
b_cell,yes,6.0186
b_cell,yes,4.9566
b_cell,yes,9.5381
b_cell,yes,13.2094
b_cell,yes,15.2873
